% # columns="iteration, evaluation, void, void, void, xmean", seed=491249, Thu Dec 26 22:19:47 2019, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 58.7371234615971 9.940045258614562
2 12 0 0 0 58.741058305802405 8.906468550287407
3 18 0 0 0 59.30275059105062 8.4037655273819
4 24 0 0 0 59.86779160363683 7.144787794686352
5 30 0 0 0 59.71256544642091 7.787129865828766
6 36 0 0 0 60.384305127734486 8.217626106303124
7 42 0 0 0 59.583653925119734 9.565604893008457
8 48 0 0 0 58.9250959680042 9.949841724795244
9 54 0 0 0 59.64850525506447 9.709147569329085
10 60 0 0 0 60.02458911571283 9.946682226896346
11 66 0 0 0 60.12139046914619 9.878142864521578
12 72 0 0 0 59.68033661788177 10.132244339557927
13 78 0 0 0 59.26196322638397 10.210269307211615
14 84 0 0 0 59.47579004919915 10.071231689289185
15 90 0 0 0 60.02294634711679 9.881177879471203
16 96 0 0 0 60.1353532380888 9.870279245689025
17 102 0 0 0 59.9616225927654 9.842368130523777
18 108 0 0 0 60.16940211302953 9.690262140257209
19 114 0 0 0 60.092017778939706 9.813830881584552
20 120 0 0 0 60.10819466679634 9.823375949565177
21 126 0 0 0 60.128001511826554 9.846166969989762
22 132 0 0 0 60.164048104817326 9.725281865957326
23 138 0 0 0 60.158135812179495 9.77492373408982
24 144 0 0 0 60.18939524605646 9.775531681370092
25 150 0 0 0 60.18531698873856 9.837639410347927
26 156 0 0 0 60.100300049041714 9.879466827600098
27 162 0 0 0 60.08450917819606 9.869300790059611
28 168 0 0 0 60.018761788337706 9.92714854769664
29 174 0 0 0 59.98556621766932 9.952906371579981
30 180 0 0 0 59.93925989745919 9.956495443017282
31 186 0 0 0 60.0296196143288 9.874351457980277
32 192 0 0 0 60.0197246809954 9.892951040013617
33 198 0 0 0 60.02128249965466 9.933699901975809
34 204 0 0 0 59.99772006726716 9.902068674940761
35 210 0 0 0 59.9444772055074 9.9735768862617
36 216 0 0 0 59.93625661747792 9.975339926251083
37 222 0 0 0 59.922728475394926 10.013673407048856
38 228 0 0 0 59.86412763598154 10.067578520810507
39 234 0 0 0 59.80377996811136 10.114626766333952
40 240 0 0 0 59.733741528040525 10.14878133046778
41 246 0 0 0 59.77856119139626 10.140683109749807
42 252 0 0 0 59.84744223974199 10.106840174633398
43 258 0 0 0 59.866173143231386 10.095274265014886
44 264 0 0 0 59.833976580412475 10.143791356374912
45 270 0 0 0 59.87079271906463 10.117993799484651
46 276 0 0 0 59.81019076099878 10.163023878364845
47 282 0 0 0 59.799724106113736 10.174996111075448
48 288 0 0 0 59.795107473215964 10.178006894347385
49 294 0 0 0 59.754970918332695 10.209326222681687
50 300 0 0 0 59.7048155687234 10.253068894836627
51 306 0 0 0 59.64866624083655 10.285540066013645
52 312 0 0 0 59.59160678905603 10.303339976910502
53 318 0 0 0 59.666151679004514 10.232048022433856
54 324 0 0 0 59.5267965999576 10.331440537216862
55 330 0 0 0 59.4504819579156 10.365508907642772
