% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=491249, Thu Dec 26 22:19:47 2019
1 6 -0.09188650129180913 -0.09188650129180913 0 0 1 1
2 12 -0.019417497990712462 -0.019417497990712462 0 0 1 1
3 18 -0.12943835837366766 -0.12943835837366766 0 0 1 1
4 24 -0.28472447817512686 -0.28472447817512686 0 0 1 1
5 30 -0.2419676726301776 -0.24196767263017757 0 0 1 1
6 36 -0.2046584913147 -0.2046584913147 0 0 1 1
7 42 -0.5328513534577443 -0.5328513534577443 0 0 1 1
8 48 -0.5498932973429138 -0.5498932973429138 0 0 1 1
9 54 -0.5760237103440695 -0.5760237103440695 0 0 1 1
10 60 -0.44433836615620764 -0.44433836615620764 0 0 1 1
11 66 -0.36646550419147034 -0.36646550419147034 0 0 1 1
12 72 -0.21228980542480738 -0.21228980542480735 0 0 1 1
13 78 -0.35117371755812293 -0.35117371755812293 0 0 1 1
14 84 -0.508049898386459 -0.508049898386459 0 0 1 1
15 90 -0.5948735310519208 -0.5948735310519208 0 0 1 1
16 96 -0.5510504554247054 -0.5510504554247054 0 0 1 1
17 102 -0.5718679554789836 -0.5718679554789836 0 0 1 1
18 108 -0.5540732317223822 -0.5540732317223822 0 0 1 1
19 114 -0.6052387073157134 -0.6052387073157134 0 0 1 1
20 120 -0.5704905947000553 -0.5704905947000553 0 0 1 1
21 126 -0.6133588635239178 -0.6133588635239178 0 0 1 1
22 132 -0.6407503105584763 -0.6407503105584763 0 0 1 1
23 138 -0.6256324352180938 -0.6256324352180938 0 0 1 1
24 144 -0.5908869479831604 -0.5908869479831604 0 0 1 1
25 150 -0.40871587853983593 -0.40871587853983593 0 0 1 1
26 156 -0.6365610489403062 -0.6365610489403062 0 0 1 1
27 162 -0.5452811697957494 -0.5452811697957494 0 0 1 1
28 168 -0.7401694743184669 -0.7401694743184669 0 0 1 1
29 174 -0.7691619746608587 -0.7691619746608587 0 0 1 1
30 180 -0.7768954204199108 -0.7768954204199108 0 0 1 1
31 186 -0.8184054722402696 -0.8184054722402696 0 0 1 1
32 192 -0.783372848162843 -0.783372848162843 0 0 1 1
33 198 -0.7414979052721727 -0.7414979052721727 0 0 1 1
34 204 -0.6378691434763876 -0.6378691434763876 0 0 1 1
35 210 -0.8115841620333735 -0.8115841620333735 0 0 1 1
36 216 -0.7965603126249563 -0.7965603126249564 0 0 1 1
37 222 -0.8126869551623348 -0.8126869551623348 0 0 1 1
38 228 -0.8569553991725958 -0.8569553991725959 0 0 1 1
39 234 -0.9104439549235154 -0.9104439549235153 0 0 1 1
40 240 -0.904602433516453 -0.904602433516453 0 0 1 1
41 246 -0.8665596061735908 -0.8665596061735908 0 0 1 1
42 252 -0.8779051146502651 -0.8779051146502651 0 0 1 1
43 258 -0.9110961242394938 -0.9110961242394938 0 0 1 1
44 264 -0.8455939862271881 -0.8455939862271881 0 0 1 1
45 270 -0.8299066317335134 -0.8299066317335134 0 0 1 1
46 276 -0.8727912731286781 -0.8727912731286781 0 0 1 1
47 282 -0.8672359444141908 -0.8672359444141908 0 0 1 1
48 288 -0.8173451812670081 -0.8173451812670081 0 0 1 1
49 294 -0.8853075583897179 -0.8853075583897179 0 0 1 1
50 300 -0.9535984305303078 -0.9535984305303079 0 0 1 1
51 306 -0.9666118684804994 -0.9666118684804994 0 0 1 1
52 312 -0.9422587771206995 -0.9422587771206995 0 0 1 1
53 318 -0.947770467717136 -0.947770467717136 0 0 1 1
54 324 -0.9490556646260728 -0.9490556646260727 0 0 1 1
55 330 -0.9598199433880995 -0.9598199433880995 0 0 1 1
